customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
5860357,0.0267,8454.1042,27607.2515,67442.1787,6.4887,475.9078,0.7593
2364425,4.9244,1250.9502,3980.6004,125263.2701,2.7421,479.0092,0.1977
1520701,4.3892,7798.8461,42438.1241,13941.4076,8.8031,473.5905,0.7592
8590900,4.4755,4174.8336,27640.3032,88653.9143,6.6123,638.5755,0.139
8724863,3.2962,832.2185,43073.023,86236.0344,8.7028,705.9903,0.9887
7467070,1.7239,8746.1601,14826.7674,63681.8068,3.9539,669.0985,0.285
3437071,4.4682,6251.0881,42431.684,123318.8892,0.3399,840.1731,0.8373
1781648,1.4576,2570.3502,6386.4829,139993.4799,5.7614,463.6366,0.1905
6473822,2.8136,9623.3563,1808.2698,69596.1741,3.3919,844.0217,0.9506
4521308,0.4987,531.2242,1471.6422,68241.6314,4.4819,614.2699,0.8266
1976564,4.6098,2207.0396,20326.5596,75010.3091,6.8111,504.6357,0.3594
4961474,0.7039,8096.6144,3655.3779,107597.2902,7.0066,824.9301,0.4215
1275413,1.1245,7639.89,22391.4333,99480.2242,0.2756,615.1271,0.0038
8274400,2.7907,3143.1175,14329.3852,33848.5858,7.693,561.5274,0.2514
3070425,3.8205,710.6917,14684.2517,10418.9527,4.9352,502.5041,0.2893
6300147,3.0968,9231.5606,27780.5182,140931.6211,5.567,526.4009,0.4527
3493845,1.1607,3404.5702,7152.0438,39484.8625,2.9799,840.815,0.139
5160589,0.0047,2141.6796,33497.1739,95136.9298,4.2083,542.3563,0.4788
5373713,3.7858,5570.6549,25441.4531,123121.8524,7.1038,840.1902,0.6685
2479060,4.926,9789.7593,39975.5106,45264.4506,7.7671,553.955,0.3713
8756482,4.0496,512.9019,15959.5491,94670.6251,3.8711,510.287,0.2322
7200971,2.301,8243.8696,42934.1702,16905.8098,6.9112,489.047,0.5477
8515812,4.5188,6174.4766,25170.6359,143979.7092,2.5804,590.0397,0.029
8158464,2.0492,4600.7461,42527.5898,9573.2381,8.3202,512.6685,0.3408
5783203,2.6247,8011.3421,1213.0433,65592.2841,6.0981,716.0466,0.5276
8374824,2.3856,10384.8661,31813.0107,80133.695,7.7519,513.9791,0.3358
1708216,2.2381,2500.1829,35683.0059,117526.6426,4.7715,777.2454,0.3454
2568082,3.876,1584.3701,2353.0459,18855.8188,2.2911,776.633,0.8483
1362118,2.6338,9818.1733,25307.8074,65980.4646,4.2923,534.2027,0.934
3602792,1.5836,7207.1867,35042.1528,45181.136,3.8149,741.0647,0.8274
4109534,1.2908,4734.9399,24524.9941,46994.1799,3.3272,787.0353,0.0989
3170971,0.1887,6182.8936,2817.571,115802.8249,2.1217,668.8387,0.2897
7629780,2.916,8027.7561,30305.57,1805.0098,7.5917,569.9189,0.7113
3854159,1.1498,8321.2353,2677.1402,111424.0529,0.8635,602.9075,0.9744
3247649,0.7407,9893.2336,35719.9997,120462.5997,8.8756,755.5132,0.2423
5341602,3.2691,4615.6639,1910.4017,133871.7738,1.7502,537.6463,0.8982
2127642,3.406,3187.4232,6030.0282,93410.0135,9.7987,555.8324,0.739
7417470,3.7608,6893.6824,12042.061,50155.377,9.8847,479.0667,0.9835
1596689,2.5179,4496.6913,27682.5427,63979.6035,3.9839,584.3812,0.0936
8894891,4.4703,6411.3027,42656.6902,143950.9104,9.8782,446.2397,0.3947
7177869,4.6817,4542.2674,5175.4605,130897.6715,8.6907,549.8972,0.4781
2589943,4.0369,1684.4346,6261.8602,69329.365,0.8243,573.0779,0.6721
1044497,3.178,5071.4781,16135.4761,140018.9742,9.4733,520.9218,0.654
7523579,1.5186,7442.295,36538.5815,122313.5726,0.4251,452.8003,0.9063
6654804,4.9147,8602.233,20429.6158,133831.6213,1.8191,638.5769,0.8387
6831991,1.3707,5327.2961,14072.249,101679.1634,5.846,790.3659,0.0554
7170074,1.0133,1815.4728,24532.2022,127428.6527,0.8074,556.355,0.4865
1592641,2.2108,4485.5572,11405.3482,132457.1914,1.6173,512.6663,0.4071
3867858,0.2842,8463.1907,17545.1435,14564.3654,9.5349,533.9869,0.9971
1927214,4.8925,4465.9858,14552.2394,143284.7392,9.9469,788.9541,0.4273
7904689,2.9422,7502.3756,35138.143,50178.6343,7.9814,641.291,0.6826
5986375,2.7848,5475.9454,40382.0064,65846.5459,5.1521,465.8093,0.2844
3647331,3.279,2628.8107,33192.3957,117736.2599,9.003,721.476,0.6146
1508756,2.4851,8568.6945,19200.7821,99013.8142,1.119,476.2311,0.2066
3488016,0.1603,948.1958,22049.4711,132647.909,9.4289,434.628,0.6036
3601616,3.0616,5665.1538,5492.0114,60049.4501,3.5155,521.0127,0.8682
6836783,3.5809,2282.7314,32637.6235,56027.2222,8.6149,482.2959,0.0192
6100442,2.0837,764.6473,26072.0698,5671.3224,6.6837,675.4089,0.5046
8097551,3.7865,5430.1354,39429.5942,69211.3567,9.6027,622.1784,0.9824
4777790,1.135,5394.0443,8789.7598,107736.8511,8.6468,728.0365,0.1593
1957013,1.1064,7613.3762,33199.1158,45397.4115,8.879,634.1144,0.1834
6705900,0.8071,8018.5163,29922.4534,69211.5244,6.3175,593.2006,0.4708
7086197,1.86,7836.9868,11637.7061,33341.9034,8.3316,640.5887,0.871
5490241,4.2351,4430.6572,29167.4897,114918.3355,7.5713,600.0429,0.5628
7167648,4.1396,6808.3244,40387.1428,9920.1412,1.6162,424.3924,0.5087
4950424,1.9141,6222.3446,40127.9333,104982.0542,6.486,708.869,0.0868
5181906,2.9456,4559.1363,31448.4846,56860.3734,1.4818,833.2616,0.962
4420423,3.6041,6439.2852,2130.3869,7131.7673,8.6946,594.5388,0.3471
1203663,1.206,10186.0247,38112.2115,126811.8129,0.6595,595.29,0.2518
1863397,0.8407,2111.4981,28748.3798,72896.1433,9.8705,428.2298,0.4117
1251740,4.8605,9742.0723,13584.3217,89346.9161,4.0063,801.5476,0.4142
6091266,3.0878,618.9661,8206.4664,108910.2404,1.7063,818.6717,0.4585
3515003,4.9071,3347.7494,5104.78,97565.9506,9.3567,767.4075,0.6885
5068617,1.6888,3131.0601,2224.8516,108737.205,0.4543,455.0047,0.8679
8260370,3.5152,6751.3296,32953.6373,113369.6053,4.7011,805.8989,0.0573
2994528,1.113,1451.4019,10327.8815,87848.1118,7.7023,418.5884,0.4908
4283167,1.306,9491.3391,1090.4663,54899.4699,3.1675,604.5019,0.414
7044328,2.5595,8915.5103,17375.3498,36842.1145,5.2883,629.2757,0.0109
2830586,1.5981,7026.4273,21100.8934,134098.9349,7.0041,776.6289,0.8165
1616122,0.8381,4953.597,7419.7592,143978.7363,9.5198,739.8798,0.1043
3318180,1.3144,10033.0464,1954.6767,53723.8466,1.027,760.3168,0.1147
2290008,0.1787,8939.0069,8288.3288,17555.9695,1.5723,791.6122,0.0483
8437407,3.5221,5391.4003,29679.3312,33804.7126,5.0887,618.4233,0.2004
7464854,2.4606,7559.5618,3622.1758,99864.5359,4.1847,752.8715,0.1768
6067215,0.4712,6115.142,24262.9773,26492.4851,4.108,438.0706,0.3479
7971542,0.8585,6340.0553,6423.5801,115999.5253,2.9696,604.4895,0.6593
7429270,0.5127,3589.5167,8574.8807,137065.9003,5.6068,421.3186,0.0543
2492784,3.063,4992.8885,17192.3055,143053.9711,8.8329,812.5693,0.8603
8140318,0.4711,882.9875,4433.3977,2374.6932,1.6092,831.6189,0.3266
5314773,3.7714,3871.8064,7593.2208,142243.5947,2.1529,445.1011,0.6066
7459413,0.1026,7494.8585,15265.914,110113.6733,6.7082,643.421,0.012
8168574,1.2469,10249.9072,14424.0558,13390.028,0.562,551.7117,0.3658
3544181,4.4533,10355.32,32742.6964,62211.5029,6.7376,559.4002,0.0021
1880680,3.5927,5995.1826,3296.4337,104195.2299,3.1446,607.2094,0.1655
2823683,0.3648,6540.0042,37596.4635,142027.0945,3.5785,463.2792,0.4479
4416957,4.1056,2034.7238,35666.0078,25196.4407,4.0555,487.9004,0.5351
7544004,2.4652,7489.2881,33472.6504,19829.4416,3.4959,663.1969,0.1529
7885708,4.2339,803.1082,13537.9626,70629.7091,8.4121,416.2901,0.7452
1055937,3.0037,3094.0293,35956.3109,143709.5689,9.4607,673.1121,0.189
5086029,3.4092,7200.8743,8012.2672,144193.1282,5.4801,548.9614,0.1158
4339388,4.9675,3368.3107,5463.0018,34597.4089,5.8188,775.8352,0.3334
2777067,1.1617,580.3396,1994.3173,48075.6594,0.7048,673.2029,0.5514
1959182,3.1197,8951.0365,41039.2486,134854.975,7.1319,720.9763,0.9889
3701064,2.3016,3368.5234,13478.525,109324.5865,5.841,458.5759,0.4187
8543097,0.1973,722.2556,40092.2171,144331.2849,0.5039,525.5112,0.426
3585774,0.0724,847.3085,11933.1788,132660.9477,1.9843,848.528,0.0593
5150371,0.5961,2741.5834,39653.379,32707.7778,2.0194,599.6743,0.7658
6624099,3.2455,1952.2478,39494.6021,112992.9929,1.7097,566.6184,0.1818
3909166,2.8358,8334.8102,40356.6992,8159.1067,6.5865,794.2441,0.7448
8774060,2.7671,3490.0559,21692.2886,121558.5132,9.2844,422.619,0.9106
8699387,0.1593,8660.1622,37836.3835,89676.794,7.6298,644.3698,0.7682
3014447,2.3465,1907.6131,41539.3644,141940.9277,4.7737,500.9337,0.6425
4978046,4.6231,5322.5104,14203.4972,142520.4776,4.0405,570.7235,0.6039
3407189,1.988,7411.4604,18318.5077,8490.766,3.8646,496.3015,0.4536
3278895,3.1246,7025.6249,31431.6161,24662.8222,6.0125,424.7177,0.1445
1295399,3.8991,6481.2094,13144.5009,72378.0167,3.5922,592.0984,0.7788
5876512,3.9196,9945.9762,32940.8048,130648.0582,2.2612,756.8277,0.4773
5021487,2.5964,2492.8929,3257.5718,121059.1343,6.0284,828.7639,0.6256
1412126,4.2898,5331.5019,22886.0905,143159.8884,3.9071,683.743,0.374
3229346,1.9569,9508.9464,5371.5086,92113.1274,0.1412,579.866,0.2007
8265965,4.4435,880.5506,12837.3143,38820.5879,0.2223,748.276,0.8065
2916690,1.2011,645.0061,11322.4955,4701.0245,2.7414,631.309,0.3424
2159405,1.4011,2544.0269,36657.0205,33862.0801,5.1242,570.4882,0.8667
4915684,0.2656,6822.5759,8480.061,100543.4945,3.5424,487.1576,0.9657
8885000,3.9779,2828.5079,35326.1698,137544.1915,0.2406,759.8895,0.83
2936636,2.0853,2083.0915,34693.6839,48305.1093,2.2315,629.1882,0.1281
6377048,1.1456,4957.7552,21811.4558,130089.4848,0.9642,834.0013,0.855
7092873,1.159,6614.6726,10240.5785,59212.8119,9.4863,762.444,0.5194
2901297,4.507,2707.3193,9937.2961,46442.9371,3.1283,593.6471,0.2414
6825665,4.1696,3265.3505,20328.9291,76009.8394,0.1477,735.4557,0.0932
3942392,2.7677,6614.2576,416.2287,66196.4999,6.6056,608.399,0.2785
6058432,3.0806,10169.8676,23228.9024,135705.2312,2.3245,443.3007,0.1374
6068222,2.3716,7269.1478,41627.2737,70026.7777,5.6674,636.373,0.0256
5286234,1.9583,8426.9068,6785.7114,41882.6142,1.5075,790.652,0.9878
1722593,4.5774,3973.0803,25062.2778,125204.429,9.8401,786.1051,0.8315
7682297,0.6281,2960.9657,42020.1513,148227.8433,9.7026,662.1354,0.7389
3566392,2.0922,4909.2177,37599.5808,96548.3622,6.5598,575.9704,0.193
2492372,1.7228,8686.2481,37156.8092,37921.0565,7.072,412.4645,0.0277
1326503,2.4908,4930.9669,35911.2631,36204.2512,4.2588,545.6431,0.4852
5727151,2.2882,9110.0429,13522.7369,9506.6699,9.6218,845.4954,0.7417
6420476,2.5944,10630.4943,38913.4287,12393.9353,4.2374,729.109,0.9628
1133017,0.6996,817.7498,41127.8721,135879.6532,2.3947,725.1741,0.8439
5096794,2.5657,532.8495,21676.5277,15223.3748,1.1538,744.3989,0.8935
2812169,1.2121,1647.9763,15511.2075,72398.1828,2.0813,682.0901,0.2387
6161361,0.9217,4161.0362,18115.7033,103911.6538,5.7221,666.9495,0.1553
2395162,0.3242,1449.4459,14622.1473,126352.6527,2.4509,608.4997,0.2478
6527456,3.8133,9366.2841,9305.2326,26247.4242,6.5425,604.2188,0.1386
4093999,2.1372,294.539,27031.3388,65533.9097,3.8218,792.915,0.7985
8493662,3.1332,3426.9957,24593.0189,38071.2439,8.8687,581.9077,0.903
2100417,3.638,2023.7357,20226.7899,38711.4395,5.5848,779.409,0.3073
3728672,3.3966,10017.8821,4215.9874,45789.6148,6.226,778.2786,0.8769
1908051,2.3525,7212.8376,34821.7136,87548.0814,5.5656,748.737,0.055
8397378,1.9395,9809.059,7668.7503,3443.7212,8.8557,424.6379,0.6774
8018569,1.8798,10454.4873,5033.1029,61257.1296,0.6342,473.4037,0.5275
3063719,3.2002,5367.6708,27233.1625,28541.0376,0.6735,547.0997,0.2767
6279843,2.474,2554.9108,17435.322,143565.0481,7.0174,782.6097,0.7682
7537664,4.2457,2120.4363,2642.7192,86901.376,7.6796,793.9806,0.212
5441633,4.3735,2432.8838,15554.7471,128967.8459,4.3359,426.3683,0.4161
5237245,0.8528,7631.4915,33725.369,29847.0877,3.5231,551.5283,0.7099
2935012,0.6812,479.7108,26891.6681,120406.1805,2.7795,783.8698,0.3382
1745096,3.152,596.5474,15869.8498,62143.9871,2.3439,518.3644,0.8554
8177570,1.5061,6556.2815,8405.2997,27194.3615,9.1196,839.3935,0.8654
8203186,0.0929,6919.2955,27614.0371,113216.8152,2.9514,624.2723,0.2025
6064796,4.4432,7167.6877,38779.7711,113329.7175,6.4808,822.2922,0.4404
3712380,1.1345,4027.3534,28246.0657,147806.0079,7.8709,597.5413,0.432
3793813,4.6464,8673.5325,35520.7031,116119.6646,0.2197,551.1191,0.41
6807581,3.5872,5758.6449,22800.0621,22414.1618,0.3387,568.1853,0.502
8176726,3.8133,1175.6769,31376.2117,48547.0237,3.3314,798.8609,0.0744
8096540,1.0073,8578.8503,39158.3427,67590.0499,6.9602,554.1647,0.87
7238911,1.171,10248.3204,33786.429,19670.1663,2.608,703.851,0.2899
6136233,2.6063,689.4063,39753.2663,117166.5435,0.0148,615.6705,0.0018
1673398,0.8605,4235.7672,18853.971,78641.7799,2.8815,824.2187,0.6851
2293267,1.5272,5265.104,39507.3152,140223.3704,0.9013,478.4387,0.6505
8188276,1.6073,1614.5914,27167.4951,87871.1986,2.1941,597.4663,0.9832
5851432,0.7981,9334.6484,38015.486,78081.6941,3.3319,463.0881,0.7192
1073895,1.0259,3088.2916,1750.7191,11528.9375,1.2806,663.5376,0.3327
1812042,3.9428,8428.0243,28751.6006,23015.4055,7.0636,586.0814,0.9526
6307983,0.836,7229.0377,37051.8121,126230.4914,2.5592,434.9343,0.3653
1040813,0.1423,6448.203,7636.8138,147037.7061,6.6109,783.6284,0.8212
2286702,3.1468,2103.4606,28923.3718,62202.4617,5.9903,573.9775,0.3357
5389900,4.8799,2409.171,36046.8091,120416.556,8.9805,626.1848,0.0487
6535115,1.6561,553.5963,12602.6962,93513.7863,0.8793,588.1209,0.7338
6215665,0.5933,2623.3443,17723.5449,142377.0188,2.1461,623.9845,0.3502
2794358,2.8519,3744.3757,24895.1626,36104.3291,8.6518,415.2157,0.3389
6697376,4.5318,8964.6829,22697.0247,81315.4249,8.2213,768.4331,0.7159
2898189,3.9203,3968.6122,1742.5492,61261.483,1.9211,554.8801,0.322
3603347,3.1126,8124.1754,4339.3935,80855.5332,1.0774,728.2121,0.118
6971855,1.5753,4750.5275,4417.7354,40632.9563,8.5624,436.68,0.4045
6197039,2.7094,8447.9311,11481.5171,74373.8472,1.7814,639.5308,0.8238
7793656,0.4562,10496.6915,10765.3746,93103.7417,8.7111,809.6861,0.1302
6260875,3.3947,2614.0225,32434.9528,12972.2106,9.6111,584.0256,0.5545
5546488,3.6255,9277.197,25036.0296,110525.3713,2.2081,495.1885,0.1323
1749672,4.8252,6702.723,33384.657,105150.0906,8.4039,451.7939,0.0492
3941853,1.302,8795.015,3083.1141,130790.1749,4.2383,787.7169,0.3787
3121801,0.0923,7021.2903,21214.7144,63776.4429,7.8878,513.5524,0.6579
2952110,2.728,4584.6945,14166.7657,10090.7813,4.074,838.9814,0.275
8783887,3.534,2488.0739,37137.5649,69024.9912,0.704,517.5377,0.4457
4144895,3.952,796.4336,30931.6969,21285.2681,7.127,620.598,0.4913
8136219,0.9687,5778.9157,37980.984,96441.5465,1.5069,610.4334,0.8413
6049095,1.3088,10647.1294,2058.5277,7947.7607,9.2703,435.4083,0.819
7358389,2.563,7946.7051,31500.7385,56131.6257,4.1775,643.073,0.0023
5021151,1.653,3550.6559,23606.8683,13212.0523,0.82,705.3073,0.4139
5615246,4.3026,8901.0963,36048.7874,1496.2534,2.2848,736.024,0.6561
4940202,2.3688,8277.9071,22172.8293,142597.8349,8.6252,638.9856,0.8524
2562163,3.9979,3061.3836,23615.6314,147841.3044,3.2109,767.1626,0.0489
6779554,2.9031,199.9298,2291.6681,82887.9014,8.5633,740.4271,0.6282
3246352,3.8655,1311.5843,29217.4433,36225.0029,1.7229,493.7366,0.842
1194838,1.6634,9437.3763,11956.1562,135307.0957,4.6822,585.5079,0.2551
6163757,4.1571,9001.2659,891.4329,137066.8375,8.7826,471.0212,0.2053
2417114,1.3729,3206.6698,2932.1087,126965.0189,0.484,466.9733,0.4678
8523489,2.7305,3099.4855,41823.9963,81246.7664,3.0428,722.7603,0.9626
8631242,1.07,8533.5266,15140.3944,12012.0084,9.0985,642.4629,0.6929
8318749,2.3776,10084.2263,37929.3445,14036.9751,5.9653,673.6198,0.4245
3961395,1.5909,8386.5865,41928.4078,133172.678,7.1623,731.6255,0.0209
1123968,1.3335,6528.8338,41211.9923,130107.5453,8.4213,530.5378,0.5567
8426375,4.8349,2644.3123,38525.2474,65035.4457,5.236,585.402,0.3488
4425568,0.8004,5674.3338,39097.971,49373.988,8.4537,676.207,0.1857
8733045,3.9366,2546.2701,12648.9149,95951.7116,6.3876,450.71,0.5001
8708768,4.9208,8695.6524,6644.3936,119959.8531,6.8565,776.2099,0.3414
7823943,0.0995,4188.7743,27940.0224,108859.2727,1.5285,559.8047,0.0387
3355757,3.4951,8970.5905,21340.9427,91747.3714,9.3902,699.1688,0.7255
4080899,1.2646,4131.4885,4342.6512,35127.5479,7.9608,848.0397,0.7326
7808962,0.2024,8868.3917,29611.163,39696.4152,2.542,618.1102,0.6188
3535530,2.0144,3614.5825,24604.506,107736.3663,5.7999,503.0514,0.8408
2356175,4.6761,4757.9177,37710.6996,119315.9426,3.7647,503.6636,0.2032
5454436,0.0588,6634.9067,26626.8697,18119.7413,6.604,434.6863,0.2862
8489061,2.9394,799.1351,25088.4965,28609.8662,9.9375,747.0504,0.4587
6568189,2.507,10196.2917,19273.6086,101309.6051,0.4575,537.6967,0.0602
5560508,4.3669,6186.5994,20235.6086,58341.361,9.5252,484.3448,0.8835
1777683,0.42,5482.4355,41697.1993,84036.2298,0.7239,723.4536,0.4906
5920052,3.4076,9031.5679,6075.8084,91631.2128,4.6076,544.6384,0.3247
8920225,3.4005,9313.8163,19512.2863,115421.8456,4.8211,673.4073,0.478
2120921,3.3454,5637.0039,28663.1884,119772.4926,2.6872,592.6792,0.3251
5146683,4.7117,9972.1015,18935.6554,42289.5983,5.667,555.6955,0.2863
8018839,4.1154,739.7301,12396.0346,80793.7311,8.3396,624.3279,0.448
6926076,0.2099,1258.7408,12576.8512,19208.9331,2.9396,546.6966,0.4819
6576077,2.3554,6434.7418,10232.4054,125123.292,0.704,792.7897,0.4333
6619820,1.9898,3836.6674,15045.4799,125629.3241,6.3228,440.2838,0.5479
3876060,1.5507,5015.8009,38086.4729,45150.7911,7.5175,421.3279,0.7834
3348901,2.2567,3558.5091,22088.3073,24677.375,9.5452,587.6257,0.0573
7474780,1.921,4378.9207,10519.7864,11332.3819,1.5952,484.3969,0.8115
7480797,2.1617,8852.3031,16818.9861,85758.531,9.0136,736.7271,0.2285
7936438,4.8963,6399.2902,4651.9049,14477.6156,4.8212,564.2178,0.2521
8305759,0.4432,10722.2541,39499.2598,101327.9701,2.3576,523.5555,0.5995
5090789,4.6112,8469.4554,17852.3991,100964.0914,9.6275,566.8466,0.9757
5012186,2.4012,2976.0785,42832.7203,91509.2225,2.3843,505.0119,0.0174
7386258,3.1187,2876.306,15204.1986,130215.6949,7.3344,540.4464,0.6731
6199687,4.1509,3642.2034,36544.5586,56763.1818,7.8489,659.0495,0.6969
6615683,1.8023,9072.9439,11224.7,134005.5266,4.3052,789.9024,0.5737
7366239,2.1521,338.8681,3356.2696,6443.2491,6.8998,571.9243,0.0097
8119890,2.0476,2510.6199,1417.0403,17621.7535,5.7248,549.7369,0.6064
3704104,1.8737,9732.9347,26495.2274,61764.1208,1.9203,753.5511,0.115
4004786,4.6276,6896.1675,13634.0654,88561.8061,7.5989,417.9125,0.0781
1752129,4.1446,2474.9312,19394.4584,5772.5632,9.2802,541.5177,0.6961
5626255,0.545,2392.4884,35771.4339,84646.7527,4.8864,607.8595,0.7002
1287842,0.5406,9280.1566,10863.34,46314.2561,9.9431,673.4925,0.8899
4724859,2.1393,9613.4695,13506.5345,131776.2454,4.2797,476.9792,0.0034
5341190,0.4933,2788.384,36936.6056,79612.6445,4.7974,599.3216,0.3788
3292500,3.0955,4547.8822,21544.24,87662.7229,6.739,658.3048,0.0123
5726673,0.7185,8980.2082,36165.1397,140396.1731,1.8577,633.5307,0.3647
1244309,2.6119,8299.5657,16380.2008,113648.1173,9.0195,661.9516,0.4917
1299089,0.0361,8758.8556,17423.3433,65606.8178,8.0127,700.78,0.5297
7580688,1.583,5595.6632,7328.4341,71297.8639,8.7242,575.6827,0.3559
3881656,3.386,9803.9082,40036.684,96511.8703,6.0956,436.127,0.7253
2016740,2.4202,3535.7347,39182.6563,30511.8031,8.8375,432.5559,0.4156
5177990,4.8913,1723.7859,42999.7442,14068.2137,6.7997,787.5519,0.5171
7159860,4.3705,7632.9796,17601.3398,46880.0535,5.1156,707.4193,0.8001
2726776,1.7954,5819.9764,35770.0328,115743.1055,9.3179,745.7696,0.1743
5983114,0.2274,9194.1793,18147.3423,38932.6623,4.3972,818.5316,0.3209
1683058,4.2281,915.504,19865.0346,20275.4988,5.0057,739.7406,0.5214
1413750,4.5562,9077.5779,36267.0453,33286.5988,1.6954,713.9972,0.7676
5250876,4.1031,3186.1788,7774.9771,101088.8775,9.4766,697.8453,0.4254
5325115,0.6397,7056.2895,9649.7961,91503.4218,2.2105,522.2894,0.0728
6099422,4.9896,476.3183,13771.7849,102466.0146,2.0142,831.124,0.9888
6808666,1.2929,6571.6775,34441.2883,48460.5489,1.0119,647.5836,0.7079
8806618,3.621,7724.384,16300.5504,133797.166,4.5336,506.1567,0.7227
5130450,4.5402,3993.8471,15668.2493,67596.4535,2.7361,500.7432,0.4651
3583803,1.1784,2352.5173,43637.1091,76727.5582,7.4078,768.3475,0.547
7361388,4.5413,5801.5257,16787.5279,140865.8526,3.0752,518.5922,0.994
3166837,1.5474,8965.1699,10848.6036,145357.3974,7.2077,426.3105,0.5951
4511860,4.8821,3510.0005,27239.3742,98519.4557,1.9596,597.3582,0.2189
1627933,1.4063,2749.1885,35039.4311,140276.9729,2.2997,769.2689,0.9644
1203116,4.7672,3032.4779,3070.5311,80824.7846,8.0617,591.1823,0.5378
8700996,0.2677,10206.1938,27050.7122,46297.249,3.7109,763.168,0.0207
7687717,3.5464,3892.4459,1591.7602,47448.525,1.1177,773.6273,0.5734
6567745,2.6606,85.3634,23009.8133,83394.6511,9.614,787.1066,0.0705
4271728,2.3894,8413.8166,11251.1672,90189.6938,1.7739,668.2937,0.5276
2386585,1.1175,7531.7471,13418.7496,65804.9109,1.502,717.1661,0.8253
2251736,3.528,1422.965,20423.7226,131278.6814,3.5838,523.7417,0.5389
3002133,0.954,10589.0945,40506.5049,63900.2053,0.9563,452.0665,0.3735
5393843,2.7642,6555.4181,31057.3487,41305.976,1.5562,643.489,0.8826
6716709,1.2662,5407.0745,40931.644,2176.6261,8.4644,412.6772,0.9276
6281549,4.7781,4138.0184,28844.0936,144073.7336,1.7151,613.8561,0.3475
3239645,0.1432,9666.0817,341.9566,122513.8185,1.1143,453.1254,0.499
8638735,0.9986,2658.1432,11626.3406,91740.9806,8.7996,455.9218,0.9829
6903104,1.2116,3105.6239,39575.0851,123432.0446,4.438,792.8863,0.1781
5434859,2.0703,1357.0563,28122.6384,120446.5023,1.5716,691.109,0.2982
5893762,1.1637,8172.3142,42887.5551,138366.1554,5.8152,693.1936,0.4284
4356900,2.4567,6421.4802,6840.5944,57911.079,0.4151,586.7787,0.1009
2982039,4.3623,6566.1636,12986.8119,82791.9789,4.2738,590.6584,0.272
3847914,3.5603,2385.2683,15851.5852,15538.972,5.9031,541.9736,0.5447
7062687,2.8998,7016.8213,14288.2303,143299.2518,9.5712,599.9865,0.2285
1115464,0.445,8240.1699,11032.8801,146219.7294,3.2646,667.5093,0.6863
1928843,3.47,3877.5848,19392.0937,117320.6296,7.6505,490.4724,0.3477
1368320,0.8321,8624.3187,28072.5463,67942.9643,1.327,523.6641,0.0898
1326132,3.9318,3780.2014,13620.2371,74199.9875,4.3358,626.6812,0.7645
7843551,1.2503,8161.8176,3511.1228,65178.3889,2.2313,578.0729,0.5674
